Technology,yr,cost.yr,yr.available,size,leadtime,overnight.base,variable.o.m,fixed.o.m,heatrate.1,heatrate.n,heatrate.1.yr,heatrate.n.yr
Coal with 30% carbon sequestration (CCS),2016,2015,2019,650,4,4649,6.95,68.49,9750,9221,2015,n
IGCC,2015,2013,2018,1200,4,3483,7.22,51.37,8700,7450,2014,n
IGCC,2014,2012,2017,1200,4,3525,7.22,51.39,8700,7450,2013,n
Adv Combined Cycle,1996,1987,1999,NA,NA,332,0.4,21,7300,5687,1995,2010
Adv Combined Cycle,1997,1995,2000,NA,4,620,0.5,27,6985,5700,1995,2010
Adv Combined Cycle,1998,1996,1999,400,3,572,2,13.8,6985,6350,1,n
Adv Combined Cycle,1999,1997,1997,400,3,575,0.51,14.23,6985,6350,1,n
Adv Combined Cycle,2000,1998,1997,400,3,580,0.51,14.23,6985,6350,1,n
Adv Combined Cycle,2001,1999,2004,400,3,533,0.51,14.12,6927,6350,2000,2010
Adv Combined Cycle,2002,2000,2004,400,3,546,0.52,14.46,6870,6350,2001,2010
Adv Combined Cycle,2003,2001,2005,400,3,563,2.04,10.22,7000,6350,2002,n
Adv Combined Cycle,2004,2002,2006,400,3,569,2.07,10.34,6928,6350,2003,n
Adv Combined Cycle,2005,2003,2007,400,3,517,1.77,10.35,6752,6333,2004,n
Adv Combined Cycle,2006,2004,2008,400,3,532,1.82,10.65,6752,6333,2005,n
Adv Combined Cycle,2007,2005,2009,400,3,550,1.88,11.01,6717,6333,2006,n
Adv Combined Cycle,2008,2006,2010,400,3,654,1.95,11.38,6752,6333,2007,n
Adv Combined Cycle,2009,2007,2011,400,3,877,2,11.7,6752,6333,2008,n
Adv Combined Cycle,2010,2008,2012,400,3,897,2.04,11.96,6752,6333,2009,n
Adv Combined Cycle,2011,2009,2013,400,3,917,3.07,14.44,6430,6333,2010,n
Adv Combined Cycle,2012,2010,2014,400,3,929,3.11,14.62,6430,6333,2011,n
Adv Combined Cycle,2013,2011,2015,400,3,931,3.21,15.1,6430,6333,2012,n
Adv Combined Cycle,2014,2012,2016,400,3,945,3.27,15.37,6430,6333,2013,n
Adv Combined Cycle,2015,2013,2017,400,3,942,3.27,15.36,6430,6333,2014,n
Adv Combined Cycle,2016,2015,2018,429,3,1000,1.96,9.78,6300,6200,2015,n
Adv Combined Cycle with CCS,2004,2002,2010,400,3,969,2.58,14.93,8646,7300,2003,n
Adv Combined Cycle with CCS,2005,2003,2010,400,3,992,2.6,17.6,8613,7493,2004,n
Adv Combined Cycle with CCS,2006,2004,2010,400,3,1021,2.68,18.12,8613,7493,2005,n
Adv Combined Cycle with CCS,2007,2005,2010,400,3,1055,2.77,18.72,8547,7493,2006,n
Adv Combined Cycle with CCS,2008,2006,2010,400,3,1254,2.86,19.36,8613,7493,2007,n
Adv Combined Cycle with CCS,2009,2007,2016,400,3,1683,2.94,19.9,8613,7493,2008,n
Adv Combined Cycle with CCS,2011,2009,2016,340,3,1813,6.37,29.89,7525,7493,2010,n
Adv Combined Cycle with CCS,2012,2010,2017,340,3,1834,6.45,30.25,7525,7493,2011,n
Adv Combined Cycle with CCS,2013,2011,2017,340,3,1833,6.66,31.23,7525,7493,2012,n
Adv Combined Cycle with CCS,2014,2012,2017,340,3,1856,6.78,31.79,7525,7493,2013,n
Adv Combined Cycle with CCS,2010,2008,2016,400,3,1720,3.01,20.35,8613,7493,2009,n
Adv Combined Cycle with CCS,2015,2013,2017,340,3,1845,6.78,31.77,7525,7493,2014,n
Adv Combined Cycle with CCS,2016,2015,2018,340,3,1898,6.97,32.69,7525,7493,2015,n
Adv Combustion Turbine,2011,2009,2012,210,2,626,6.9,14.52,9750,8550,2010,n
Adv Combustion Turbine,2012,2010,2013,210,2,634,9.87,6.7,9750,8550,2011,n
Adv Combustion Turbine,2013,2011,2014,210,2,632,10.19,6.92,9750,8550,2012,n
Adv Combustion Turbine,2014,2012,2015,210,2,641,10.37,7.04,9750,8550,2013,n
Adv Combustion Turbine,2015,2013,2016,210,2,639,10.37,7.04,9750,8550,2014,n
Adv Combustion Turbine,2016,2015,2017,237,2,632,10.47,6.65,9800,8550,2015,n
Adv Combustion Turbine,1999,1997,1997,120,2,461,0.1,9.01,9700,8000,1,n
Adv Combustion Turbine,2000,1998,1997,120,2,465,0.1,9.01,9700,8000,1,n
Adv Combustion Turbine,2001,1999,2003,120,2,440,0.1,8.94,9133,8000,2000,2010
Adv Combustion Turbine,2002,2000,2003,120,2,451,0.1,9.16,9020,8000,2001,2010
Adv Combustion Turbine,2003,2001,2004,230,2,439,3.07,8.17,9394,8550,2002,n
Adv Combustion Turbine,2004,2002,2005,230,2,444,3.1,8.27,9289,8550,2003,n
Adv Combustion Turbine,2005,2003,2006,230,2,356,2.8,9.31,9183,8550,2004,n
Adv Combustion Turbine,2006,2004,2007,230,2,367,2.89,9.59,9227,8550,2005,n
Adv Combustion Turbine,2007,2005,2008,230,2,379,2.98,9.91,9166,8550,2006,n
Adv Combustion Turbine,2008,2006,2009,230,2,450,3.08,10.24,9289,8550,2007,n
Adv Combustion Turbine,2009,2007,2010,230,2,604,3.17,10.53,9289,8550,2008,n
Adv Combustion Turbine,2010,2008,2011,230,2,617,3.24,10.77,9289,8550,2009,n
Adv Combustion Turbine,1997,1995,1999,NA,3,563,0.5,17.2,9700,7500,1995,2010
Adv Combustion Turbine,1996,1987,1990,NA,NA,600,0.5,26.7,9000,7935,1995,2010
Adv Combustion Turbine,1998,1996,1998,120,2,458,5,5.7,9700,8000,1,n
Adv Nuclear,2016,2015,2022,2234,6,5288,2.25,98.11,10449,10449,2015,n
Adv Nuclear,2015,2013,2022,2234,6,4646,2.14,93.23,10479,10479,2014,n
Adv Nuclear,2014,2012,2019,2234,6,4763,2.14,93.28,10464,10464,2013,n
Adv Nuclear,2013,2011,2018,2236,6,4700,2.1,91.65,10452,10452,2012,n
Adv Nuclear,2012,2010,2017,2236,6,4619,2.04,88.75,10460,10460,2011,n
Adv Nuclear,2011,2009,2016,2236,6,4567,2,87.69,10453,10453,2010,n
Adv Nuclear,2010,2008,2016,1350,6,3308,0.51,92.04,10488,10488,2009,n
Adv Nuclear,2009,2007,2016,1350,6,2873,0.49,90.02,10434,10434,2008,n
Adv Nuclear,2008,2006,2016,1350,6,2143,0.48,66.05,10400,10400,2007,n
Adv Nuclear,2007,2005,2014,1350,6,1802,0.47,63.88,10400,10400,2006,n
Adv Nuclear,2006,2004,2013,1000,6,1744,0.45,61.82,10400,10400,2005,n
Adv Nuclear,2005,2003,2013,1000,6,1694,0.44,60.06,10400,10400,2004,n
Adv Nuclear,2004,2002,2013,1000,6,1669,0.43,59.17,10400,10400,2003,n
Adv Nuclear,2003,2001,2007,1000,5,1750,0.43,58.48,10400,10400,2002,n
Adv Nuclear,2002,2000,2005,600,4,1772,0.42,57.23,10400,10400,2001,2010
Adv Nuclear,2001,1999,2005,600,4,1729,0.41,55.86,10400,10400,2000,2010
Adv Nuclear,2000,1998,2001,600,4,2390,0.41,56.29,10400,10400,1,n
Adv Nuclear,1999,1997,2001,600,4,2371,0.41,56.29,10400,10400,1,n
Adv Nuclear,1998,1996,2005,1300,5,2356,0.4,55,10400,10400,1,n
Biomass,2016,2015,2019,50,4,3498,5.41,108.63,13500,13500,2015,n
Biomass,2015,2013,2018,50,4,3399,5.26,105.58,13500,13500,2014,n
Biomass,2014,2012,2017,50,4,3590,5.26,105.64,13500,13500,2013,n
Biomass,2013,2011,2016,50,4,3685,5.17,103.79,13500,13500,2012,n
Biomass,2012,2010,2015,50,4,3519,5,100.55,13500,13500,2011,n
Biomass,2011,2009,2014,50,4,3395,6.94,99.3,13500,13500,2010,n
Biomass,2010,2008,2013,80,4,3414,6.86,65.89,9451,7765,2009,n
Biomass,2009,2007,2012,80,4,3339,6.71,64.45,9646,7765,2008,n
Biomass,2008,2006,2011,80,4,2490,6.53,62.7,8911,8911,2007,n
Biomass,2007,2005,2010,80,4,1714,2.96,50.18,8911,8911,2006,n
Biomass,2006,2004,2009,80,4,1659,3.13,48.56,8911,8911,2005,n
Biomass,2005,2003,2008,80,4,1612,2.96,47.18,8911,8911,2004,n
Biomass,2004,2002,2010,80,4,1588,2.96,46.47,8911,8911,2003,n
Biomass,2003,2001,2006,100,4,1569,2.96,45.94,8911,8911,2002,n
Biomass,2002,2000,2005,100,4,1536,2.9,44.95,8911,8911,2001,2010
Biomass,2001,1999,2005,100,4,1464,2.83,43.88,8911,8911,2000,2010
Biomass,2000,1998,2001,100,4,1877,5.32,44,9224,8219,1,n
Biomass,1999,1997,2001,100,4,2205,5.32,44,9224,8219,1,n
Biomass,1998,1996,2000,100,4,2243,5.2,43,8911,8224,1,n
Biomass,1997,1995,2000,NA,4,2657,2.2,67,8979,8077,1995,2010
Biomass,1996,1987,2000,100,4,1932,15.1,67.9,NA,NA,NA,NA
IGCC,2013,2011,2016,1200,4,3475,7.09,50.49,8700,7450,2012,n
Conv Combined Cycle ,1996,1987,1999,NA,NA,344,0.4,22.8,7900,6842,1995,2010
Conv Combined Cycle ,1997,1995,1998,NA,4,430,0.5,29.4,8030,7000,1995,2010
Conv Combined Cycle ,1998,1996,1998,250,3,440,2,15,8030,7000,1,n
Conv Combined Cycle ,2001,1999,2004,250,3,424,0.51,15.24,7687,7000,2000,2010
Conv Combined Cycle ,2002,2000,2004,250,3,435,0.52,15.61,7618,7000,2001,2010
Conv Combined Cycle ,2003,2001,2005,250,3,510,2.04,12.26,7500,7000,2002,n
Conv Combined Cycle ,1999,1997,1997,250,3,445,0.51,15.35,8030,7000,1,n
Conv Combined Cycle ,2000,1998,1997,250,3,449,0.51,15.35,8030,7000,1,n
Conv Combined Cycle ,2004,2002,2006,250,3,516,2.07,12.4,7444,7000,2003,n
Conv Combined Cycle ,2005,2003,2007,250,3,540,1.83,11.04,7196,6800,2004,n
Conv Combined Cycle ,2006,2004,2008,250,3,556,1.88,11.37,7196,6800,2005,n
Conv Combined Cycle ,2007,2005,2009,250,3,574,1.94,11.75,7163,6800,2006,n
Conv Combined Cycle ,2008,2006,2010,250,3,683,2.01,12.14,7196,6800,2007,n
Conv Combined Cycle ,2009,2007,2011,250,3,917,2.07,12.48,7196,6800,2008,n
Conv Combined Cycle ,2010,2008,2012,250,3,937,2.11,12.76,7196,6800,2009,n
Conv Combined Cycle ,2011,2009,2013,540,3,921,3.37,14.22,7050,6800,2010,n
Conv Combined Cycle ,2012,2010,2014,540,3,931,3.43,14.39,7050,6800,2011,n
Conv Combined Cycle ,2013,2011,2015,620,3,858,3.54,12.94,7050,6800,2012,n
Conv Combined Cycle ,2014,2012,2016,620,3,871,3.6,13.17,7050,6800,2013,n
Conv Combined Cycle ,2015,2013,2017,620,3,869,3.6,13.16,7050,6800,2014,n
Conv Combined Cycle ,2016,2015,2018,702,3,911,3.42,10.76,6600,6350,2015,n
Conv Combustion Turbine,1997,1995,1996,NA,3,353,0.1,12.1,11900,9700,1995,2010
Conv Combustion Turbine,1996,1987,1990,NA,NA,275,0.1,9.4,11900,10663,1995,2010
Conv Combustion Turbine,1998,1996,1996,160,2,325,5,4,11900,10600,1,n
Conv Combustion Turbine,2011,2009,2012,85,2,916,8.15,9.75,10745,10450,2010,n
Conv Combustion Turbine,2013,2011,2014,85,2,910,15.18,7.21,10850,10450,2012,n
Conv Combustion Turbine,2014,2012,2015,85,2,924,15.45,7.34,10817,10450,2013,n
Conv Combustion Turbine,2015,2013,2016,85,2,922,15.44,7.34,10783,10450,2014,n
Conv Combustion Turbine,2016,2015,2017,100,2,1026,3.42,17.12,9960,9600,2015,n
Conv Combustion Turbine,2012,2010,2013,85,2,927,14.7,6.98,10745,10450,2011,n
Conv Combustion Turbine,1999,1997,1998,160,2,329,0.1,6.35,11900,10600,1,n
Conv Combustion Turbine,2000,1998,1998,160,2,332,0.1,6.35,11900,10600,1,n
Conv Combustion Turbine,2001,1999,2003,160,2,315,0.1,6.3,11467,10600,2000,2010
Conv Combustion Turbine,2002,2000,2002,160,2,323,0.1,6.45,11380,10600,2001,2010
Conv Combustion Turbine,2006,2004,2007,160,2,388,3.25,11.03,10842,10450,2005,n
Conv Combustion Turbine,2007,2005,2008,160,2,400,3.36,11.4,10807,10450,2006,n
Conv Combustion Turbine,2009,2007,2010,160,2,638,3.57,12.11,10810,10450,2008,n
Conv Combustion Turbine,2004,2002,2005,160,2,394,4.14,10.34,10878,10450,2003,n
Conv Combustion Turbine,2005,2003,2006,160,2,376,3.16,10.72,10817,10450,2004,n
Conv Combustion Turbine,2003,2001,2004,160,2,389,4.09,10.22,10939,10450,2002,n
Conv Combustion Turbine,2008,2006,2009,160,2,476,3.47,11.78,10833,10450,2007,n
Conv Combustion Turbine,2010,2008,2011,160,2,653,3.65,12.38,10788,10450,2009,n
Conv Hydropower,1996,1987,NA,NA,3,2176,3.2,10.2,NA,NA,NA,NA
Conv Hydropower,2006,2004,2009,500,4,1320,3.2,12.72,10338,10338,2005,n
Conv Hydropower,2007,2005,2010,500,4,1364,3.3,13.14,10107,10107,2006,n
Conv Hydropower,2008,2006,2011,500,4,1410,3.41,13.59,10022,10022,2007,n
Conv Hydropower,2009,2007,2012,500,4,2038,2.43,13.63,9919,9919,2008,n
Conv Hydropower,2010,2008,2013,500,4,2084,2.49,13.93,9884,9884,2009,n
Conv Hydropower,2011,2009,2014,500,4,2019,2.42,13.55,9854,9854,2010,n
Conv Hydropower,2012,2010,2015,500,4,2134,2.55,14.27,9760,9760,2011,n
Conv Hydropower,2013,2011,2016,500,4,2179,2.6,14.57,9756,9756,2012,n
Conv Hydropower,2014,2012,2017,500,4,2213,2.65,14.83,9716,9716,2013,n
Conv Hydropower,2015,2013,2018,500,4,2410,5.76,15.15,9516,9516,2014,n
Conv Hydropower,2016,2015,2019,500,4,2191,2.62,14.7,9541,9541,2015,n
Conv Hydropower,2005,2003,2008,500,4,1319,4.6,12.35,10338,10338,2004,n
IGCC,2012,2010,2015,1200,4,3010,6.87,48.9,8700,7450,2011,n
IGCC,2011,2009,2014,1200,4,2974,6.79,58.52,8700,7450,2010,n
Distributed Generation - Base,2001,1999,2004,2,3,579,14.75,3.92,10991,9210,2000,2010
Distributed Generation - Peak,2001,1999,2003,1,2,520,22.55,12.26,10620,10500,2000,2010
Distributed Generation - Base,2002,2000,2004,2,3,593,15.11,4.02,10991,9210,2001,2010
Distributed Generation - Peak,2002,2000,2003,1,2,533,23.1,12.56,10620,10500,2001,2010
Distributed Generation - Base,2003,2001,2005,2,3,766,6.13,13.79,9400,8900,2002,n
Distributed Generation - Peak,2003,2001,2004,1,2,919,6.13,13.79,10400,9880,2002,n
Distributed Generation - Base,2004,2002,2006,2,3,775,6.2,13.95,9400,8900,2003,n
Distributed Generation - Peak,2004,2002,2005,1,2,930,6.2,13.95,10400,9880,2003,n
Distributed Generation - Base,2005,2003,2007,2,3,769,6.3,14.18,9950,8900,2004,n
Distributed Generation - Peak,2005,2003,2006,1,2,924,6.3,14.18,11200,9880,2004,n
Distributed Generation - Base,2006,2004,2008,2,3,791,6.49,14.6,9650,8900,2005,n
Distributed Generation - Peak,2006,2004,2007,1,2,951,6.49,14.6,10823,9880,2005,n
Distributed Generation - Base,2007,2005,2009,2,3,818,6.7,15.08,9500,8900,2006,n
Distributed Generation - Peak,2007,2005,2008,1,2,983,6.7,15.08,10634,9880,2006,n
Distributed Generation - Base,2008,2006,2009,5,2,972,6.93,15.59,9200,8900,2007,n
Distributed Generation - Peak,2008,2006,2010,2,3,1168,6.93,15.59,10257,9880,2007,n
Distributed Generation - Base,2009,2007,2011,2,3,1305,7.12,16.03,9050,8900,2008,n
Distributed Generation - Peak,2009,2007,2010,1,2,1566,7.12,16.03,10069,9880,2008,n
Distributed Generation - Base,2010,2008,2012,2,3,1334,7.28,16.39,9050,8900,2009,n
Distributed Generation - Peak,2010,2008,2011,1,2,1601,7.28,16.39,10069,9880,2009,n
