primemover,fuel,index,fuel_general,overnight_d,overnight_c
AB,BIT,ABBIT,coal,CT,coal
AB,LIG,ABLIG,coal,CT,coal
AB,SUB,ABSUB,coal,CT,coal
AB,WC,ABWC,coal,CT,coal
AB,WD,ABWD,biomass,conventional,biomass
BA,MWH,BAMWH,other,.,.
BT,GEO,BTGEO,geothermal,binary,geothermal
BT,WH,BTWH,other,.,.
CA,BIT,CABIT,coal,CC,coal
CA,DFO,CADFO,petroleum,CC,CC
CA,FO2,CAFO2,petroleum,CC,CC
CA,FO6,CAFO6,petroleum,CC,CC
CA,JF,CAJF,petroleum,CC,CC
CA,LFG,CALFG,gas,CC,CC
CA,NG,CANG,gas,CC,CC
CA,OBG,CAOBG,gas,CC,CC
CA,OG,CAOG,gas,CC,CC
CA,OTH,CAOTH,other,.,.
CA,PUR,CAPUR,other,.,.
CA,RFO,CARFO,petroleum,CC,CC
CA,SG,CASG,gas,CC,CC
CA,SGC,CASGC,gas,CC,CC
CA,SGP,CASGP,gas,CC,CC
CA,WDS,CAWDS,biomass,conventional,biomass
CA,WH,CAWH,other,.,.
CA,WO,CAWO,petroleum,CC,CC
CC,BIT,CCBIT,coal,CC,coal
CC,NG,CCNG,gas,CC,CC
CE,NG,CENG,gas,storage,OTH
CG,NG,CGNG,gas,OTH,OTH
CH,ANT,CHANT,coal,ST,coal
CH,BIT,CHBIT,coal,ST,coal
CH,MF,CHMF,other,.,.
CH,NG,CHNG,gas,ST,ST
CH,SUB,CHSUB,coal,ST,coal
CH,WC,CHWC,coal,ST,coal
CH,WD,CHWD,biomass,conventional,biomass
CP,SUN,CPSUN,solar,solar_thermal,solar_thermal
CS,DFO,CSDFO,petroleum,CT,CT
CS,NG,CSNG,gas,CT,CT
CT,BIT,CTBIT,coal,CC,coal
CT,DFO,CTDFO,petroleum,CC,CC
CT,FO2,CTFO2,petroleum,CC,CC
CT,JF,CTJF,petroleum,CC,CC
CT,LFG,CTLFG,gas,CC,CC
CT,NG,CTNG,gas,CC,CC
CT,OBG,CTOBG,gas,CC,CC
CT,OG,CTOG,gas,CC,CC
CT,RFO,CTRFO,petroleum,CC,CC
CT,SG,CTSG,gas,CC,CC
CT,SGC,CTSGC,gas,CC,CC
CT,SGP,CTSGP,gas,CC,CC
CT,WH,CTWH,other,.,.
CT,WO,CTWO,petroleum,CC,CC
CW,BIT,CWBIT,coal,CC,coal
CW,FO2,CWFO2,petroleum,CC,CC
CW,NG,CWNG,gas,CC,CC
CW,WH,CWWH,other,.,.
FC,LFG,FCLFG,gas,storage,FC
FC,NG,FCNG,gas,storage,FC
FC,OBG,FCOBG,gas,storage,FC
FW,MWH,FWMWH,other,.,.
GE,GST,GEGST,geothermal,ST,geothermal
GT,DFO,GTDFO,petroleum,CT,CT
GT,FO1,GTFO1,petroleum,CT,CT
GT,FO2,GTFO2,petroleum,CT,CT
GT,FO4,GTFO4,petroleum,CT,CT
GT,FO6,GTFO6,petroleum,CT,CT
GT,JF,GTJF,petroleum,CT,CT
GT,KER,GTKER,petroleum,CT,CT
GT,LFG,GTLFG,gas,CT,CT
GT,LPG,GTLPG,gas,CT,CT
GT,NG,GTNG,gas,CT,CT
GT,OBG,GTOBG,gas,CT,CT
GT,OBL,GTOBL,petroleum,CT,CT
GT,OG,GTOG,gas,CT,CT
GT,OO,GTOO,other,.,.
GT,OTH,GTOTH,other,.,.
GT,PC,GTPC,coal,CT,coal
GT,PG,GTPG,petroleum,CT,CT
GT,RFO,GTRFO,petroleum,CT,CT
GT,RG,GTRG,gas,CT,CT
GT,WH,GTWH,other,.,.
GT,WO,GTWO,petroleum,CT,CT
HL,WAT,HLWAT,water,hydro,hydro
HR,WAT,HRWAT,water,hydro,hydro
HY,WAT,HYWAT,water,hydro,hydro
IC,DFO,ICDFO,petroleum,CT,CT
IC,FO1,ICFO1,petroleum,CT,CT
IC,FO2,ICFO2,petroleum,CT,CT
IC,FO4,ICFO4,petroleum,CT,CT
IC,FO5,ICFO5,petroleum,CT,CT
IC,FO6,ICFO6,petroleum,CT,CT
IC,JF,ICJF,petroleum,CT,CT
IC,LFG,ICLFG,gas,CT,CT
IC,MSW,ICMSW,MSW,MSW,MSW
IC,MTE,ICMTE,gas,CT,CT
IC,NG,ICNG,gas,CT,CT
IC,OBG,ICOBG,gas,CT,CT
IC,OBL,ICOBL,petroleum,CT,CT
IC,OG,ICOG,gas,CT,CT
IC,OT,ICOT,other,.,.
IC,OTH,ICOTH,other,.,.
IC,REF,ICREF,biomass,conventional,biomass
IC,RFO,ICRFO,petroleum,CT,CT
IC,SLW,ICSLW,biomass,conventional,biomass
IC,WO,ICWO,petroleum,CT,CT
IG,BIT,IGBIT,coal,IGCC,IGCC
IG,SNG,IGSNG,gas,IGCC,IGCC
JE,FO1,JEFO1,petroleum,CT,CT
JE,FO2,JEFO2,petroleum,CT,CT
JE,JF,JEJF,petroleum,CT,CT
JE,KER,JEKER,petroleum,CT,CT
JE,NG,JENG,gas,CT,CT
NB,UR,NBUR,nuclear,ST,nuclear
NP,UR,NPUR,nuclear,ST,nuclear
OT,BFG,OTBFG,gas,OTH,OTH
OT,GEO,OTGEO,geothermal,OTH,geothermal
OT,JF,OTJF,petroleum,OTH,OTH
OT,KER,OTKER,petroleum,OTH,OTH
OT,LFG,OTLFG,gas,OTH,OTH
OT,NG,OTNG,gas,OTH,OTH
OT,OG,OTOG,gas,OTH,OTH
OT,OT,OTOT,other,.,.
OT,OTH,OTOTH,other,.,.
OT,PC,OTPC,coal,OTH,coal
OT,REF,OTREF,biomass,conventional,biomass
OT,SUB,OTSUB,coal,OTH,coal
OT,SUN,OTSUN,solar,solar_thermal,solar_thermal
OT,WDS,OTWDS,biomass,conventional,biomass
OT,WH,OTWH,other,.,.
PS,WAT,PSWAT,water,hydro,hydro
PV,SUN,PVSUN,solar,PV,PV
SP,SUN,SPSUN,solar,PV,PV
ST,AB,STAB,biomass,conventional,biomass
ST,ANT,STANT,coal,ST,coal
ST,BFG,STBFG,gas,ST,ST
ST,BIT,STBIT,coal,ST,coal
ST,BLQ,STBLQ,biomass,conventional,biomass
ST,DFO,STDFO,petroleum,ST,ST
ST,FO1,STFO1,petroleum,ST,ST
ST,FO2,STFO2,petroleum,ST,ST
ST,FO4,STFO4,petroleum,ST,ST
ST,FO6,STFO6,petroleum,ST,ST
ST,GEO,STGEO,geothermal,ST,geothermal
ST,LFG,STLFG,gas,ST,ST
ST,LIG,STLIG,coal,ST,coal
ST,LPG,STLPG,gas,ST,ST
ST,MF,STMF,other,.,.
ST,MSW,STMSW,MSW,MSW,MSW
ST,NG,STNG,gas,ST,ST
ST,NUC,STNUC,nuclear,ST,nuclear
ST,OBG,STOBG,gas,ST,ST
ST,OBS,STOBS,biomass,conventional,biomass
ST,OG,STOG,gas,ST,ST
ST,OTH,STOTH,other,.,.
ST,PC,STPC,coal,ST,coal
ST,PUR,STPUR,other,.,.
ST,RC,STRC,coal,ST,coal
ST,REF,STREF,biomass,conventional,biomass
ST,RFO,STRFO,petroleum,ST,ST
ST,SC,STSC,coal,ST,coal
ST,SLW,STSLW,biomass,conventional,biomass
ST,SNG,STSNG,gas,ST,ST
ST,SUB,STSUB,coal,ST,coal
ST,SUN,STSUN,solar,solar_thermal,solar_thermal
ST,TDF,STTDF,other,.,.
ST,WC,STWC,coal,ST,coal
ST,WD,STWD,biomass,conventional,biomass
ST,WDL,STWDL,biomass,conventional,biomass
ST,WDS,STWDS,biomass,conventional,biomass
ST,WH,STWH,other,.,.
ST,WO,STWO,petroleum,ST,ST
WS,WND,WSWND,wind,wind,wind
WT,WND,WTWND,wind,wind,wind
