"overnight_category","year","fuel_general","marginal.cost"
"biomass",1990,"biomass",NA
"biomass",1991,"biomass",NA
"biomass",1992,"biomass",NA
"biomass",1993,"biomass",NA
"biomass",1994,"biomass",NA
"biomass",1995,"biomass",NA
"biomass",1996,"biomass",NA
"biomass",1997,"biomass",NA
"biomass",1998,"biomass",NA
"biomass",1999,"biomass",NA
"biomass",2000,"biomass",NA
"biomass",2001,"biomass",NA
"biomass",2002,"biomass",NA
"biomass",2003,"biomass",NA
"biomass",2004,"biomass",NA
"biomass",2005,"biomass",NA
"biomass",2006,"biomass",NA
"biomass",2007,"biomass",NA
"biomass",2008,"biomass",NA
"biomass",2009,"biomass",NA
"biomass",2010,"biomass",NA
"biomass",2011,"biomass",NA
"biomass",2012,"biomass",NA
"biomass",2013,"biomass",NA
"biomass",2014,"biomass",NA
"biomass",2015,"biomass",NA
"biomass",2016,"biomass",NA
"biomass",2017,"biomass",NA
"biomass",2018,"biomass",NA
"biomass",2019,"biomass",NA
"biomass",2020,"biomass",NA
"biomass",2021,"biomass",NA
"biomass",2022,"biomass",NA
"biomass",2023,"biomass",NA
"biomass",2024,"biomass",NA
"biomass",2025,"biomass",NA
"biomass",2026,"biomass",NA
"biomass",2027,"biomass",NA
"biomass",2028,"biomass",NA
"biomass",2029,"biomass",NA
"biomass",2030,"biomass",NA
"biomass",2031,"biomass",NA
"biomass",2032,"biomass",NA
"biomass",2033,"biomass",NA
"biomass",2034,"biomass",NA
"biomass",2035,"biomass",NA
"biomass",2036,"biomass",NA
"biomass",2037,"biomass",NA
"biomass",2038,"biomass",NA
"biomass",2039,"biomass",NA
"biomass",2040,"biomass",NA
"biomass",2041,"biomass",NA
"biomass",2042,"biomass",NA
"biomass",2043,"biomass",NA
"biomass",2044,"biomass",NA
"biomass",2045,"biomass",NA
"biomass",2046,"biomass",NA
"biomass",2047,"biomass",NA
"biomass",2048,"biomass",NA
"biomass",2049,"biomass",NA
"biomass",2050,"biomass",NA
"biomass",2051,"biomass",NA
"biomass",2052,"biomass",NA
"biomass",2053,"biomass",NA
"biomass",2054,"biomass",NA
"biomass",2055,"biomass",NA
"biomass",2056,"biomass",NA
"biomass",2057,"biomass",NA
"biomass",2058,"biomass",NA
"biomass",2059,"biomass",NA
"biomass",2060,"biomass",NA
"biomass",2061,"biomass",NA
"biomass",2062,"biomass",NA
"biomass",2063,"biomass",NA
"biomass",2064,"biomass",NA
"biomass",2065,"biomass",NA
"biomass",2066,"biomass",NA
"biomass",2067,"biomass",NA
"biomass",2068,"biomass",NA
"biomass",2069,"biomass",NA
"biomass",2070,"biomass",NA
"biomass",2071,"biomass",NA
"biomass",2072,"biomass",NA
"biomass",2073,"biomass",NA
"biomass",2074,"biomass",NA
"biomass",2075,"biomass",NA
"biomass",2076,"biomass",NA
"biomass",2077,"biomass",NA
"biomass",2078,"biomass",NA
"biomass",2079,"biomass",NA
"biomass",2080,"biomass",NA
"biomass",2081,"biomass",NA
"biomass",2082,"biomass",NA
"biomass",2083,"biomass",NA
"biomass",2084,"biomass",NA
"biomass",2085,"biomass",NA
"biomass",2086,"biomass",NA
"biomass",2087,"biomass",NA
"biomass",2088,"biomass",NA
"biomass",2089,"biomass",NA
"biomass",2090,"biomass",NA
"biomass",2091,"biomass",NA
"biomass",2092,"biomass",NA
"biomass",2093,"biomass",NA
"biomass",2094,"biomass",NA
"biomass",2095,"biomass",NA
"biomass",2096,"biomass",NA
"biomass",2097,"biomass",NA
"biomass",2098,"biomass",NA
"biomass",2099,"biomass",NA
"biomass",2100,"biomass",NA
"coal",1990,"coal",NA
"coal",1991,"coal",7.79489704817732
"coal",1992,"coal",7.02732441723288
"coal",1993,"coal",6.40607028026777
"coal",1994,"coal",5.88715633385555
"coal",1995,"coal",5.43166604368407
"coal",1996,"coal",5.10823954170842
"coal",1997,"coal",4.89121469976793
"coal",1998,"coal",4.76534044000455
"coal",1999,"coal",4.63609087778496
"coal",2000,"coal",4.56210799146408
"coal",2001,"coal",4.72602710773208
"coal",2002,"coal",4.81687750188842
"coal",2003,"coal",5.13044677097246
"coal",2004,"coal",5.62341003413841
"coal",2005,"coal",6.62434773963867
"coal",2006,"coal",7.59270733986542
"coal",2007,"coal",8.3596420743857
"coal",2008,"coal",10.1565033581748
"coal",2009,"coal",11.7608278461554
"coal",2010,"coal",12.8114950084713
"coal",2011,"coal",14.3148864423509
"coal",2012,"coal",15.3484593252533
"coal",2013,"coal",15.9475135809124
"coal",2014,"coal",16.9459109815422
"coal",2015,"coal",NA
"coal",2016,"coal",NA
"coal",2017,"coal",NA
"coal",2018,"coal",NA
"coal",2019,"coal",NA
"coal",2020,"coal",NA
"coal",2021,"coal",NA
"coal",2022,"coal",NA
"coal",2023,"coal",NA
"coal",2024,"coal",NA
"coal",2025,"coal",NA
"coal",2026,"coal",NA
"coal",2027,"coal",NA
"coal",2028,"coal",NA
"coal",2029,"coal",NA
"coal",2030,"coal",NA
"coal",2031,"coal",NA
"coal",2032,"coal",NA
"coal",2033,"coal",NA
"coal",2034,"coal",NA
"coal",2035,"coal",NA
"coal",2036,"coal",NA
"coal",2037,"coal",NA
"coal",2038,"coal",NA
"coal",2039,"coal",NA
"coal",2040,"coal",NA
"coal",2041,"coal",NA
"coal",2042,"coal",NA
"coal",2043,"coal",NA
"coal",2044,"coal",NA
"coal",2045,"coal",NA
"coal",2046,"coal",NA
"coal",2047,"coal",NA
"coal",2048,"coal",NA
"coal",2049,"coal",NA
"coal",2050,"coal",NA
"coal",2051,"coal",NA
"coal",2052,"coal",NA
"coal",2053,"coal",NA
"coal",2054,"coal",NA
"coal",2055,"coal",NA
"coal",2056,"coal",NA
"coal",2057,"coal",NA
"coal",2058,"coal",NA
"coal",2059,"coal",NA
"coal",2060,"coal",NA
"coal",2061,"coal",NA
"coal",2062,"coal",NA
"coal",2063,"coal",NA
"coal",2064,"coal",NA
"coal",2065,"coal",NA
"coal",2066,"coal",NA
"coal",2067,"coal",NA
"coal",2068,"coal",NA
"coal",2069,"coal",NA
"coal",2070,"coal",NA
"coal",2071,"coal",NA
"coal",2072,"coal",NA
"coal",2073,"coal",NA
"coal",2074,"coal",NA
"coal",2075,"coal",NA
"coal",2076,"coal",NA
"coal",2077,"coal",NA
"coal",2078,"coal",NA
"coal",2079,"coal",NA
"coal",2080,"coal",NA
"coal",2081,"coal",NA
"coal",2082,"coal",NA
"coal",2083,"coal",NA
"coal",2084,"coal",NA
"coal",2085,"coal",NA
"coal",2086,"coal",NA
"coal",2087,"coal",NA
"coal",2088,"coal",NA
"coal",2089,"coal",NA
"coal",2090,"coal",NA
"coal",2091,"coal",NA
"coal",2092,"coal",NA
"coal",2093,"coal",NA
"coal",2094,"coal",NA
"coal",2095,"coal",NA
"coal",2096,"coal",NA
"coal",2097,"coal",NA
"coal",2098,"coal",NA
"coal",2099,"coal",NA
"coal",2100,"coal",NA
"combined cycle",1990,"natural gas",NA
"combined cycle",1991,"natural gas",11.1772080962734
"combined cycle",1992,"natural gas",11.6398631843626
"combined cycle",1993,"natural gas",12.3193543568666
"combined cycle",1994,"natural gas",10.357994223734
"combined cycle",1995,"natural gas",8.90163848323114
"combined cycle",1996,"natural gas",11.4760865223187
"combined cycle",1997,"natural gas",11.641834955955
"combined cycle",1998,"natural gas",9.80607965297743
"combined cycle",1999,"natural gas",10.302824976453
"combined cycle",2000,"natural gas",16.6580529863424
"combined cycle",2001,"natural gas",16.8159725207278
"combined cycle",2002,"natural gas",13.4297070950048
"combined cycle",2003,"natural gas",19.8002007858554
"combined cycle",2004,"natural gas",20.9983582847506
"combined cycle",2005,"natural gas",27.2748921941056
"combined cycle",2006,"natural gas",23.2113026054003
"combined cycle",2007,"natural gas",22.7692550563195
"combined cycle",2008,"natural gas",27.363641712403
"combined cycle",2009,"natural gas",16.0951389751226
"combined cycle",2010,"natural gas",15.6069972164635
"combined cycle",2011,"natural gas",14.0069257326232
"combined cycle",2012,"natural gas",10.2407010779458
"combined cycle",2013,"natural gas",12.0525151930851
"combined cycle",2014,"natural gas",13.59018928857
"combined cycle",2015,"natural gas",NA
"combined cycle",2016,"natural gas",NA
"combined cycle",2017,"natural gas",NA
"combined cycle",2018,"natural gas",NA
"combined cycle",2019,"natural gas",NA
"combined cycle",2020,"natural gas",NA
"combined cycle",2021,"natural gas",NA
"combined cycle",2022,"natural gas",NA
"combined cycle",2023,"natural gas",NA
"combined cycle",2024,"natural gas",NA
"combined cycle",2025,"natural gas",NA
"combined cycle",2026,"natural gas",NA
"combined cycle",2027,"natural gas",NA
"combined cycle",2028,"natural gas",NA
"combined cycle",2029,"natural gas",NA
"combined cycle",2030,"natural gas",NA
"combined cycle",2031,"natural gas",NA
"combined cycle",2032,"natural gas",NA
"combined cycle",2033,"natural gas",NA
"combined cycle",2034,"natural gas",NA
"combined cycle",2035,"natural gas",NA
"combined cycle",2036,"natural gas",NA
"combined cycle",2037,"natural gas",NA
"combined cycle",2038,"natural gas",NA
"combined cycle",2039,"natural gas",NA
"combined cycle",2040,"natural gas",NA
"combined cycle",2041,"natural gas",NA
"combined cycle",2042,"natural gas",NA
"combined cycle",2043,"natural gas",NA
"combined cycle",2044,"natural gas",NA
"combined cycle",2045,"natural gas",NA
"combined cycle",2046,"natural gas",NA
"combined cycle",2047,"natural gas",NA
"combined cycle",2048,"natural gas",NA
"combined cycle",2049,"natural gas",NA
"combined cycle",2050,"natural gas",NA
"combined cycle",2051,"natural gas",NA
"combined cycle",2052,"natural gas",NA
"combined cycle",2053,"natural gas",NA
"combined cycle",2054,"natural gas",NA
"combined cycle",2055,"natural gas",NA
"combined cycle",2056,"natural gas",NA
"combined cycle",2057,"natural gas",NA
"combined cycle",2058,"natural gas",NA
"combined cycle",2059,"natural gas",NA
"combined cycle",2060,"natural gas",NA
"combined cycle",2061,"natural gas",NA
"combined cycle",2062,"natural gas",NA
"combined cycle",2063,"natural gas",NA
"combined cycle",2064,"natural gas",NA
"combined cycle",2065,"natural gas",NA
"combined cycle",2066,"natural gas",NA
"combined cycle",2067,"natural gas",NA
"combined cycle",2068,"natural gas",NA
"combined cycle",2069,"natural gas",NA
"combined cycle",2070,"natural gas",NA
"combined cycle",2071,"natural gas",NA
"combined cycle",2072,"natural gas",NA
"combined cycle",2073,"natural gas",NA
"combined cycle",2074,"natural gas",NA
"combined cycle",2075,"natural gas",NA
"combined cycle",2076,"natural gas",NA
"combined cycle",2077,"natural gas",NA
"combined cycle",2078,"natural gas",NA
"combined cycle",2079,"natural gas",NA
"combined cycle",2080,"natural gas",NA
"combined cycle",2081,"natural gas",NA
"combined cycle",2082,"natural gas",NA
"combined cycle",2083,"natural gas",NA
"combined cycle",2084,"natural gas",NA
"combined cycle",2085,"natural gas",NA
"combined cycle",2086,"natural gas",NA
"combined cycle",2087,"natural gas",NA
"combined cycle",2088,"natural gas",NA
"combined cycle",2089,"natural gas",NA
"combined cycle",2090,"natural gas",NA
"combined cycle",2091,"natural gas",NA
"combined cycle",2092,"natural gas",NA
"combined cycle",2093,"natural gas",NA
"combined cycle",2094,"natural gas",NA
"combined cycle",2095,"natural gas",NA
"combined cycle",2096,"natural gas",NA
"combined cycle",2097,"natural gas",NA
"combined cycle",2098,"natural gas",NA
"combined cycle",2099,"natural gas",NA
"combined cycle",2100,"natural gas",NA
"combined cycle",1990,"oil",NA
"combined cycle",1991,"oil",15.4782271673488
"combined cycle",1992,"oil",15.4526892710512
"combined cycle",1993,"oil",14.5297661081339
"combined cycle",1994,"oil",14.5374800982855
"combined cycle",1995,"oil",15.1673373900485
"combined cycle",1996,"oil",17.1993630173956
"combined cycle",1997,"oil",14.9193020995119
"combined cycle",1998,"oil",10.4875846825839
"combined cycle",1999,"oil",11.5171146051243
"combined cycle",2000,"oil",18.3758665751683
"combined cycle",2001,"oil",14.3909465322643
"combined cycle",2002,"oil",11.9838434772413
"combined cycle",2003,"oil",12.5815998056784
"combined cycle",2004,"oil",10.2075027554095
"combined cycle",2005,"oil",11.0315952945316
"combined cycle",2006,"oil",7.83724737005948
"combined cycle",2007,"oil",3.09037837090648
"combined cycle",2008,"oil",-4.50252495607457
"combined cycle",2009,"oil",-9.78649005042519
"combined cycle",2010,"oil",-22.5020164180688
"combined cycle",2011,"oil",-46.6418795362148
"combined cycle",2012,"oil",-66.3366244554446
"combined cycle",2013,"oil",-78.5745250256796
"combined cycle",2014,"oil",-88.7387238702953
"combined cycle",2015,"oil",NA
"combined cycle",2016,"oil",NA
"combined cycle",2017,"oil",NA
"combined cycle",2018,"oil",NA
"combined cycle",2019,"oil",NA
"combined cycle",2020,"oil",NA
"combined cycle",2021,"oil",NA
"combined cycle",2022,"oil",NA
"combined cycle",2023,"oil",NA
"combined cycle",2024,"oil",NA
"combined cycle",2025,"oil",NA
"combined cycle",2026,"oil",NA
"combined cycle",2027,"oil",NA
"combined cycle",2028,"oil",NA
"combined cycle",2029,"oil",NA
"combined cycle",2030,"oil",NA
"combined cycle",2031,"oil",NA
"combined cycle",2032,"oil",NA
"combined cycle",2033,"oil",NA
"combined cycle",2034,"oil",NA
"combined cycle",2035,"oil",NA
"combined cycle",2036,"oil",NA
"combined cycle",2037,"oil",NA
"combined cycle",2038,"oil",NA
"combined cycle",2039,"oil",NA
"combined cycle",2040,"oil",NA
"combined cycle",2041,"oil",NA
"combined cycle",2042,"oil",NA
"combined cycle",2043,"oil",NA
"combined cycle",2044,"oil",NA
"combined cycle",2045,"oil",NA
"combined cycle",2046,"oil",NA
"combined cycle",2047,"oil",NA
"combined cycle",2048,"oil",NA
"combined cycle",2049,"oil",NA
"combined cycle",2050,"oil",NA
"combined cycle",2051,"oil",NA
"combined cycle",2052,"oil",NA
"combined cycle",2053,"oil",NA
"combined cycle",2054,"oil",NA
"combined cycle",2055,"oil",NA
"combined cycle",2056,"oil",NA
"combined cycle",2057,"oil",NA
"combined cycle",2058,"oil",NA
"combined cycle",2059,"oil",NA
"combined cycle",2060,"oil",NA
"combined cycle",2061,"oil",NA
"combined cycle",2062,"oil",NA
"combined cycle",2063,"oil",NA
"combined cycle",2064,"oil",NA
"combined cycle",2065,"oil",NA
"combined cycle",2066,"oil",NA
"combined cycle",2067,"oil",NA
"combined cycle",2068,"oil",NA
"combined cycle",2069,"oil",NA
"combined cycle",2070,"oil",NA
"combined cycle",2071,"oil",NA
"combined cycle",2072,"oil",NA
"combined cycle",2073,"oil",NA
"combined cycle",2074,"oil",NA
"combined cycle",2075,"oil",NA
"combined cycle",2076,"oil",NA
"combined cycle",2077,"oil",NA
"combined cycle",2078,"oil",NA
"combined cycle",2079,"oil",NA
"combined cycle",2080,"oil",NA
"combined cycle",2081,"oil",NA
"combined cycle",2082,"oil",NA
"combined cycle",2083,"oil",NA
"combined cycle",2084,"oil",NA
"combined cycle",2085,"oil",NA
"combined cycle",2086,"oil",NA
"combined cycle",2087,"oil",NA
"combined cycle",2088,"oil",NA
"combined cycle",2089,"oil",NA
"combined cycle",2090,"oil",NA
"combined cycle",2091,"oil",NA
"combined cycle",2092,"oil",NA
"combined cycle",2093,"oil",NA
"combined cycle",2094,"oil",NA
"combined cycle",2095,"oil",NA
"combined cycle",2096,"oil",NA
"combined cycle",2097,"oil",NA
"combined cycle",2098,"oil",NA
"combined cycle",2099,"oil",NA
"combined cycle",2100,"oil",NA
"combustion turbine",1990,"natural gas",NA
"combustion turbine",1991,"natural gas",12.5950254452983
"combustion turbine",1992,"natural gas",13.4573627180787
"combustion turbine",1993,"natural gas",14.5905728218643
"combustion turbine",1994,"natural gas",12.5477002437173
"combustion turbine",1995,"natural gas",11.0128060357001
"combustion turbine",1996,"natural gas",14.4776713457213
"combustion turbine",1997,"natural gas",14.9534195876608
"combustion turbine",1998,"natural gas",12.8045514918069
"combustion turbine",1999,"natural gas",13.6555018299845
"combustion turbine",2000,"natural gas",22.3761752559356
"combustion turbine",2001,"natural gas",22.8568170343085
"combustion turbine",2002,"natural gas",18.441956592935
"combustion turbine",2003,"natural gas",27.4260134686034
"combustion turbine",2004,"natural gas",29.2905261029323
"combustion turbine",2005,"natural gas",38.2506356744708
"combustion turbine",2006,"natural gas",32.6724479807947
"combustion turbine",2007,"natural gas",32.1141759171109
"combustion turbine",2008,"natural gas",38.603983840533
"combustion turbine",2009,"natural gas",22.6720923470658
"combustion turbine",2010,"natural gas",21.9111785570525
"combustion turbine",2011,"natural gas",19.5627812359683
"combustion turbine",2012,"natural gas",14.2013648671769
"combustion turbine",2013,"natural gas",16.5630190016904
"combustion turbine",2014,"natural gas",18.4702623456076
"combustion turbine",2015,"natural gas",NA
"combustion turbine",2016,"natural gas",NA
"combustion turbine",2017,"natural gas",NA
"combustion turbine",2018,"natural gas",NA
"combustion turbine",2019,"natural gas",NA
"combustion turbine",2020,"natural gas",NA
"combustion turbine",2021,"natural gas",NA
"combustion turbine",2022,"natural gas",NA
"combustion turbine",2023,"natural gas",NA
"combustion turbine",2024,"natural gas",NA
"combustion turbine",2025,"natural gas",NA
"combustion turbine",2026,"natural gas",NA
"combustion turbine",2027,"natural gas",NA
"combustion turbine",2028,"natural gas",NA
"combustion turbine",2029,"natural gas",NA
"combustion turbine",2030,"natural gas",NA
"combustion turbine",2031,"natural gas",NA
"combustion turbine",2032,"natural gas",NA
"combustion turbine",2033,"natural gas",NA
"combustion turbine",2034,"natural gas",NA
"combustion turbine",2035,"natural gas",NA
"combustion turbine",2036,"natural gas",NA
"combustion turbine",2037,"natural gas",NA
"combustion turbine",2038,"natural gas",NA
"combustion turbine",2039,"natural gas",NA
"combustion turbine",2040,"natural gas",NA
"combustion turbine",2041,"natural gas",NA
"combustion turbine",2042,"natural gas",NA
"combustion turbine",2043,"natural gas",NA
"combustion turbine",2044,"natural gas",NA
"combustion turbine",2045,"natural gas",NA
"combustion turbine",2046,"natural gas",NA
"combustion turbine",2047,"natural gas",NA
"combustion turbine",2048,"natural gas",NA
"combustion turbine",2049,"natural gas",NA
"combustion turbine",2050,"natural gas",NA
"combustion turbine",2051,"natural gas",NA
"combustion turbine",2052,"natural gas",NA
"combustion turbine",2053,"natural gas",NA
"combustion turbine",2054,"natural gas",NA
"combustion turbine",2055,"natural gas",NA
"combustion turbine",2056,"natural gas",NA
"combustion turbine",2057,"natural gas",NA
"combustion turbine",2058,"natural gas",NA
"combustion turbine",2059,"natural gas",NA
"combustion turbine",2060,"natural gas",NA
"combustion turbine",2061,"natural gas",NA
"combustion turbine",2062,"natural gas",NA
"combustion turbine",2063,"natural gas",NA
"combustion turbine",2064,"natural gas",NA
"combustion turbine",2065,"natural gas",NA
"combustion turbine",2066,"natural gas",NA
"combustion turbine",2067,"natural gas",NA
"combustion turbine",2068,"natural gas",NA
"combustion turbine",2069,"natural gas",NA
"combustion turbine",2070,"natural gas",NA
"combustion turbine",2071,"natural gas",NA
"combustion turbine",2072,"natural gas",NA
"combustion turbine",2073,"natural gas",NA
"combustion turbine",2074,"natural gas",NA
"combustion turbine",2075,"natural gas",NA
